source,target,path
18882,7405516,"['18882', '18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18870', '18869', '18868', '18863', '18862', '18861', '18860', '9206443', '2705944', '3305180', '3305845', '18927', '9505541', '7405493', '7405516']"
18882,7405517,"['18882', '18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18870', '18869', '18868', '18863', '18862', '18861', '18860', '9206443', '2705944', '3305180', '3305845', '18927', '9505541', '7405493', '7405516', '7405517']"
18882,7405518,"['18882', '18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18870', '18869', '18868', '18863', '18862', '18861', '18860', '9206443', '2705944', '3305180', '3305845', '18927', '9505541', '7405493', '7405516', '7405517', '7405518']"
18882,7805208,"['18882', '18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18870', '18869', '18868', '18863', '18862', '18861', '18860', '9206443', '2705944', '3305180', '3305845', '18927', '9505541', '7405493', '7405516', '7405517', '7405518', '7805208']"
18882,7805213,"['18882', '18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18870', '18869', '18868', '18863', '18862', '18861', '18860', '9206443', '2705944', '3305180', '3305845', '18927', '9505541', '7405493', '7405516', '7405517', '7405518', '7805208', '7805213']"
18882,7805219,"['18882', '18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18870', '18869', '18868', '18863', '18862', '18861', '18860', '9206443', '2705944', '3305180', '3305845', '18927', '9505541', '7405493', '7405516', '7405517', '7405518', '7805208', '7805213', '7805219']"
18882,7805216,"['18882', '18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18870', '18869', '18868', '18863', '18862', '18861', '18860', '9206443', '2705944', '3305180', '3305845', '18927', '9505541', '7405493', '7405516', '7405517', '7405518', '7805208', '7805213', '7805219', '7805216']"
18882,7504827,"['18882', '18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18870', '18869', '18868', '18863', '18862', '18861', '18860', '9206443', '2705944', '3305180', '3305845', '18927', '9505541', '7405493', '7405516', '7405517', '7405518', '7805208', '7805213', '7805219', '7805216', '7504827']"
18882,7504951,"['18882', '18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18870', '18869', '18868', '18863', '18862', '18861', '18860', '9206443', '2705944', '3305180', '3305845', '18927', '9505541', '7405493', '7405516', '7405517', '7405518', '7805208', '7805213', '7805219', '7805216', '7504827', '7504951']"
18881,18882,"['18881', '18882']"
18881,18880,"['18881', '18880']"
18881,18879,"['18881', '18880', '18879']"
18881,18878,"['18881', '18880', '18879', '18878']"
18881,18877,"['18881', '18880', '18879', '18878', '18877']"
18881,18874,"['18881', '18880', '18879', '18878', '18877', '18874']"
18881,18873,"['18881', '18880', '18879', '18878', '18877', '18874', '18873']"
18881,18872,"['18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872']"
18881,18870,"['18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18870']"
18881,18869,"['18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18870', '18869']"
18881,18868,"['18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18870', '18869', '18868']"
18881,18863,"['18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18870', '18869', '18868', '18863']"
18881,18862,"['18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18870', '18869', '18868', '18863', '18862']"
18881,18861,"['18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18870', '18869', '18868', '18863', '18862', '18861']"
18881,18860,"['18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18870', '18869', '18868', '18863', '18862', '18861', '18860']"
18881,18857,"['18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18870', '18869', '18868', '18863', '18862', '18861', '18860', '18857']"
18881,18856,"['18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18870', '18869', '18868', '18863', '18862', '18861', '18860', '18857', '18856']"
18881,18855,"['18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18870', '18869', '18868', '18863', '18862', '18861', '18860', '18857', '18856', '18855']"
18881,18854,"['18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18870', '18869', '18868', '18863', '18862', '18861', '18860', '18857', '18856', '18855', '18854']"
18881,18853,"['18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18870', '18869', '18868', '18863', '18862', '18861', '18860', '18857', '18856', '18855', '18854', '18853']"
18881,18851,"['18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18870', '18869', '18868', '18863', '18862', '18861', '18860', '18857', '18856', '18855', '18854', '18853', '18851']"
18881,18852,"['18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18870', '18869', '18868', '18863', '18862', '18861', '18860', '18857', '18856', '18855', '18854', '18853', '18851', '18852']"
18881,18849,"['18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18866', '4406630', '2600672', '18848', '4406608', '18849']"
18881,4406608,"['18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18866', '4406630', '2600672', '18848', '4406608']"
18881,18848,"['18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18866', '4406630', '2600672', '18848']"
18881,2600672,"['18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18866', '4406630', '2600672']"
18881,18850,"['18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18866', '4406630', '2600672', '18850']"
18881,18859,"['18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18866', '4406630', '2600672', '18850', '18859']"
18881,18858,"['18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18866', '4406630', '2600672', '18850', '18859', '18858']"
18881,9206443,"['18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18870', '18869', '18868', '18863', '18862', '18861', '18860', '9206443']"
18881,2705944,"['18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18870', '18869', '18868', '18863', '18862', '18861', '18860', '9206443', '2705944']"
18881,3305180,"['18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18870', '18869', '18868', '18863', '18862', '18861', '18860', '9206443', '2705944', '3305180']"
18881,3305845,"['18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18870', '18869', '18868', '18863', '18862', '18861', '18860', '9206443', '2705944', '3305180', '3305845']"
18881,18927,"['18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18870', '18869', '18868', '18863', '18862', '18861', '18860', '9206443', '2705944', '3305180', '3305845', '18927']"
18881,9505541,"['18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18870', '18869', '18868', '18863', '18862', '18861', '18860', '9206443', '2705944', '3305180', '3305845', '18927', '9505541']"
18881,18890,"['18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18870', '18869', '18871', '18987', '18875', '18876', '18944', '18883', '18884', '18885', '18886', '18887', '18888', '18890']"
18881,18888,"['18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18870', '18869', '18871', '18987', '18875', '18876', '18944', '18883', '18884', '18885', '18886', '18887', '18888']"
18881,18887,"['18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18870', '18869', '18871', '18987', '18875', '18876', '18944', '18883', '18884', '18885', '18886', '18887']"
18881,18886,"['18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18870', '18869', '18871', '18987', '18875', '18876', '18944', '18883', '18884', '18885', '18886']"
18881,18885,"['18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18870', '18869', '18871', '18987', '18875', '18876', '18944', '18883', '18884', '18885']"
18881,18884,"['18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18870', '18869', '18871', '18987', '18875', '18876', '18944', '18883', '18884']"
18881,18883,"['18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18870', '18869', '18871', '18987', '18875', '18876', '18944', '18883']"
18881,18944,"['18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18870', '18869', '18871', '18987', '18875', '18876', '18944']"
18881,18876,"['18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18870', '18869', '18871', '18987', '18875', '18876']"
18881,18875,"['18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18870', '18869', '18871', '18987', '18875']"
18881,18987,"['18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18870', '18869', '18871', '18987']"
18881,18871,"['18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18870', '18869', '18871']"
18881,18867,"['18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18866', '18867']"
18881,18866,"['18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18866']"
18881,18865,"['18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18866', '18865']"
18881,18864,"['18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18866', '18865', '18864']"
18881,18920,"['18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18866', '18865', '18864', '18920']"
18881,4406630,"['18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18866', '4406630']"
18881,4406631,"['18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18866', '4406630', '2600672', '4406631']"
18881,6311368,"['18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18866', '4406630', '2600672', '4406631', '6311368']"
18881,6311285,"['18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18866', '4406630', '2600672', '4406631', '6311368', '6311285']"
18881,18966,"['18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18866', '4406630', '2600672', '4406631', '6311368', '6311285', '18966']"
18881,1211339,"['18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18866', '4406630', '2600672', '4406631', '6311368', '6311285', '18966', '1211339']"
18881,1211401,"['18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18866', '4406630', '2600672', '4406631', '6311368', '6311285', '18966', '1211339', '1211401']"
18881,9607525,"['18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18866', '4406630', '2600672', '4406631', '6311368', '6311285', '18966', '1211339', '1211401', '9607525']"
18881,19045,"['18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18870', '18869', '18868', '18863', '18862', '18861', '18860', '18857', '18856', '9206548', '5306695', '5306694', '5306691', '3407190', '7206945', '7206944', '7206943', '7206877', '19040', '18906', '19042', '19043', '19044', '19045']"
18881,19044,"['18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18870', '18869', '18868', '18863', '18862', '18861', '18860', '18857', '18856', '9206548', '5306695', '5306694', '5306691', '3407190', '7206945', '7206944', '7206943', '7206877', '19040', '18906', '19042', '19043', '19044']"
18881,19043,"['18881', '18880', '18879', '18878', '18877', '18874', '18873', '18872', '18870', '18869', '18868', '18863', '18862', '18861', '18860', '18857', '18856', '9206548', '5306695', '5306694', '5306691', '3407190', '7206945', '7206944', '7206943', '7206877', '19040', '18906', '19042', '19043']"
